Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;1;0,0045;2025-01-14 03:36:14
Branca;131;0,5848;2025-01-14 03:36:14
Indígena;2;0,0089;2025-01-14 03:36:14
Parda;63;0,2813;2025-01-14 03:36:14
Preta;27;0,1205;2025-01-14 03:36:14
