Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;79;0,0046;2021-06-23 18:50:53
Branca;9112;0,5359;2021-06-23 18:50:53
Indígena;52;0,0031;2021-06-23 18:50:53
Parda;6245;0,3673;2021-06-23 18:50:53
Preta;1516;0,0892;2021-06-23 18:50:53
