Cor/raça;Quantitativo;Porcentagem;Data de carga
Branca;125;0,6757;2021-06-23 18:50:53
Indígena;3;0,0162;2021-06-23 18:50:53
Parda;41;0,2216;2021-06-23 18:50:53
Preta;16;0,0865;2021-06-23 18:50:53
