Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;38;0,0053;2021-06-23 18:50:53
Branca;4144;0,5807;2021-06-23 18:50:53
Indígena;25;0,0035;2021-06-23 18:50:53
Parda;2229;0,3124;2021-06-23 18:50:53
Preta;700;0,0981;2021-06-23 18:50:53
