Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;98;0,0055;2024-11-13 10:55:17
Branca;8950;0,498;2024-11-13 10:55:17
Indígena;79;0,0044;2024-11-13 10:55:17
Não divulgável;32;0,0018;2024-11-13 10:55:17
Parda;6855;0,3814;2024-11-13 10:55:17
Preta;1959;0,109;2024-11-13 10:55:17
