Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;59;0,0069;2024-11-13 10:55:17
Branca;4904;0,5698;2024-11-13 10:55:17
Indígena;39;0,0045;2024-11-13 10:55:17
Não divulgável;19;0,0022;2024-11-13 10:55:17
Parda;2649;0,3078;2024-11-13 10:55:17
Preta;937;0,1089;2024-11-13 10:55:17
