Cor/raça;Quantitativo;Porcentagem;Data de carga
Branca;8;0,6154;2025-01-14 03:36:14
Indígena;1;0,0769;2025-01-14 03:36:14
Preta;4;0,3077;2025-01-14 03:36:14
