Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;1;0,0041;2025-01-14 03:36:14
Branca;157;0,6461;2025-01-14 03:36:14
Indígena;4;0,0165;2025-01-14 03:36:14
Não Informado;1;0,0041;2025-01-14 03:36:14
Não divulgável;1;0,0041;2025-01-14 03:36:14
Parda;54;0,2222;2025-01-14 03:36:14
Preta;25;0,1029;2025-01-14 03:36:14
