Cor/raça;Quantitativo;Porcentagem;Data de carga
Indígena;2578;0,0056;2024-11-14 12:30:17
Não Informado;2763;0,006;2024-11-14 12:30:17
Branca;217021;0,4683;2024-11-14 12:30:17
Não divulgável;45;0,0001;2024-11-14 12:30:17
Parda;186744;0,403;2024-11-14 12:30:17
Amarela;1791;0,0039;2024-11-14 12:30:17
Preta;52452;0,1132;2024-11-14 12:30:17
