Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;67;0,004;2025-01-14 03:36:14
Branca;7773;0,4644;2025-01-14 03:36:14
Indígena;111;0,0066;2025-01-14 03:36:14
Não Informado;36;0,0022;2025-01-14 03:36:14
Não divulgável;12;0,0007;2025-01-14 03:36:14
Parda;6347;0,3792;2025-01-14 03:36:14
Preta;2391;0,1429;2025-01-14 03:36:14
