Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;44;0,0041;2025-01-14 03:36:14
Branca;5327;0,5011;2025-01-14 03:36:14
Indígena;59;0,0056;2025-01-14 03:36:14
Não Informado;60;0,0056;2025-01-14 03:36:14
Não divulgável;8;0,0008;2025-01-14 03:36:14
Parda;3646;0,343;2025-01-14 03:36:14
Preta;1486;0,1398;2025-01-14 03:36:14
