Cor/raça;Quantitativo;Porcentagem;Data de carga
Branca;146;0,7157;2024-11-14 12:30:17
Parda;39;0,1912;2024-11-14 12:30:17
Amarela;4;0,0196;2024-11-14 12:30:17
Preta;15;0,0735;2024-11-14 12:30:17
