Cor/raça;Quantitativo;Porcentagem;Data de carga
Indígena;2578;0,0056;2024-11-28 12:30:20
Não Informado;2763;0,006;2024-11-28 12:30:20
Branca;217020;0,4683;2024-11-28 12:30:20
Não divulgável;45;0,0001;2024-11-28 12:30:20
Parda;186745;0,403;2024-11-28 12:30:20
Amarela;1791;0,0039;2024-11-28 12:30:20
Preta;52452;0,1132;2024-11-28 12:30:20
