Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;1;0,0028;2024-11-13 10:55:17
Branca;234;0,6482;2024-11-13 10:55:17
Indígena;2;0,0055;2024-11-13 10:55:17
Não divulgável;4;0,0111;2024-11-13 10:55:17
Parda;85;0,2355;2024-11-13 10:55:17
Preta;35;0,097;2024-11-13 10:55:17
