Cor/raça;Quantitativo;Porcentagem;Data de carga
Branca;16;0,6667;2025-01-14 03:36:14
Indígena;1;0,0417;2025-01-14 03:36:14
Parda;7;0,2917;2025-01-14 03:36:14
