Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;2165;0,0044;2023-03-13 15:28:45
Branca;255688;0,5145;2023-03-13 15:28:45
Indígena;1715;0,0035;2023-03-13 15:28:45
Não divulgável;92;0,0002;2023-03-13 15:39:09
Parda;194401;0,3912;2023-03-13 15:28:45
Preta;42916;0,0864;2023-03-13 15:28:45
